ms7372,====================== NEW FLIGHT LOG INITIATED ==============================
ms7372,phase, T-clk, alt, alt-max, speed, speed-max, temp, temp max, bLaunch, bApogee, temp-raw, pressure, alt-raw, ADXL, adxl.x, adxl.y, adxl.z, adxl.avgZ, adxl.linZ, adxl.maxZ, adxl.minZ, adxl.vel, adxl.burnoutArm,adxl.burnout, adxl.apogee, LSM6D-A, lsm.x, lsm.y, lsm.z, lsm.avgZ, lsm.linZ, lsm.maxZ, lsm.minZ, lsm.vel, lsm.burnoutArm,lsm.burnout, lsm.apogee, LSM-Gyro,lsm.gX, lsm.gY, lsm.gZ, lsm.yaw, lsm.pitch, lsm.roll, lsm.tilt, lsm.tiltMax, EVENTS, voltage, launch, burnout, apogee, fore, aft, sustainer, pyro-sep, pyro-sus, pyro-main, pyro-drogue, contMain, contDrogue, contSep, contSust, StagArmed, CPU temp, CPU tempMax, ERRORS, SampleLoop, LoggingLoop, ADXL, LSM, MS56, GPS, Flash, voltage, CPUtemp, I2C,crash
ms11699,STARTUP,0.000,0,0,-1,0,96,96,0,0,36.08403015,943.71710208,595.6425,ADXL:,-756,-54,-256,39,-243,446,-243,0,0,0,0,LSM-A:,980,-29,38,-17,-19,0,-26,0,0,0,0,LSM-G,-0.0007,-0.0002,-0.0004,-2,-1,-0,2.2,0.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,117,117,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
ms11965,Main Continuity Closed
ms11965,Drogue Continuity Closed
05/20/2023-13:50:27.958,WAITING,0.000,0,11,0,12,101,101,0,0,38.39701844,943.62713624,596.4351,ADXL:,-1101,-4,-305,-1,68,561,-424,0,0,0,0,LSM-A:,978,-24,43,-0,-4,12,-13,0,0,0,0,LSM-G,0.0011,0.0001,0.0004,-2,-1,0,2.0,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,130,130,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:33.248,WAITING,0.000,0,11,0,12,101,101,0,0,38.47750856,943.60009764,596.6730,ADXL:,-1003,-4,-207,2,-28,464,-275,0,0,0,0,LSM-A:,989,-36,40,-0,6,12,-13,0,0,0,0,LSM-G,-0.0002,-0.0000,0.0003,-2,-1,0,2.1,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,128,130,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:38.696,WAITING,0.000,0,11,0,12,101,101,0,0,38.56151964,943.57775880,596.8711,ADXL:,-1101,-54,-404,2,69,464,-423,0,0,0,0,LSM-A:,982,-23,39,-0,-0,12,-13,0,0,0,0,LSM-G,-0.0000,-0.0000,-0.0001,-2,-1,0,2.0,3.0,EVENTS:,98,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,130,130,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:44.005,WAITING,0.000,0,11,0,12,101,101,0,0,38.64262392,943.59155272,596.7496,ADXL:,-1003,-202,-256,2,-30,264,-326,0,0,0,0,LSM-A:,980,-31,37,-0,-2,12,-13,0,0,0,0,LSM-G,-0.0012,-0.0002,-0.0004,-2,-1,-0,2.2,3.0,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,130,130,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:49.304,WAITING,0.000,0,11,0,12,101,101,0,0,38.72324752,943.53637696,597.2358,ADXL:,-953,-103,-354,-2,-80,363,-523,0,0,0,0,LSM-A:,978,-30,38,-0,-4,12,-13,0,0,0,0,LSM-G,-0.0008,0.0000,-0.0004,-2,-1,-0,2.1,3.0,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,128,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:54.606,WAITING,0.000,0,11,0,12,101,101,0,0,38.80414584,943.64544676,596.2740,ADXL:,-1003,-54,-354,-1,-27,317,-471,0,0,0,0,LSM-A:,983,-26,30,0,0,12,-13,0,0,0,0,LSM-G,-0.0014,-0.0002,-0.0004,-2,-1,-0,2.8,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:59.900,WAITING,0.000,0,11,0,12,101,101,0,0,38.88517760,943.56329344,596.9979,ADXL:,-1003,-103,-404,1,-27,465,-471,0,0,0,0,LSM-A:,981,-33,27,-0,-2,12,-13,0,0,0,0,LSM-G,-0.0004,-0.0000,-0.0003,-2,-1,-0,2.5,3.0,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,130,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:05.210,WAITING,0.000,0,11,0,12,102,102,0,0,38.96424864,943.51068116,597.4630,ADXL:,-1052,-4,-305,-0,22,466,-519,0,0,0,0,LSM-A:,985,-31,26,-1,1,12,-15,0,0,0,0,LSM-G,0.0000,0.0000,-0.0007,-1,-2,-0,2.0,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:10.519,WAITING,0.000,0,11,0,12,102,102,0,0,39.04169082,943.46337892,597.8805,ADXL:,-1052,44,-453,4,22,564,-519,0,0,0,0,LSM-A:,978,-31,35,-1,-5,12,-15,0,0,0,0,LSM-G,-0.0022,0.0002,-0.0007,-2,-1,-0,2.6,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:15.822,WAITING,0.000,0,11,0,12,102,102,0,0,39.12157059,943.58728028,596.7866,ADXL:,-1101,-4,-305,3,68,413,-227,0,0,0,0,LSM-A:,985,-27,27,-0,1,12,-15,0,0,0,0,LSM-G,-0.0001,0.0001,0.0000,-2,-1,-0,2.3,3.3,EVENTS:,98,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,131,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:21.134,WAITING,0.000,0,11,0,12,102,102,0,0,39.20017242,943.56127928,597.0164,ADXL:,-1003,-54,-453,-1,-29,413,-424,0,0,0,0,LSM-A:,982,-36,38,-0,-1,12,-15,0,0,0,0,LSM-G,-0.0000,-0.0000,0.0000,-2,-1,-0,2.2,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,132,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:26.455,WAITING,0.000,0,11,0,12,102,102,0,0,39.27761460,943.58978272,596.7655,ADXL:,-855,438,-897,-0,-174,466,-421,0,0,0,0,LSM-A:,990,-30,37,-1,6,12,-15,0,0,0,0,LSM-G,0.0012,-0.0000,-0.0001,-2,-1,-0,2.6,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,132,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:31.790,WAITING,0.000,0,11,0,12,102,102,0,0,39.35336684,943.60711668,596.6122,ADXL:,-1151,-4,-207,2,121,466,-421,0,0,0,0,LSM-A:,984,-31,34,-1,0,12,-15,0,0,0,0,LSM-G,0.0022,0.0000,0.0005,-2,-1,0,2.0,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,131,132,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:37.146,WAITING,0.000,0,11,0,12,102,102,0,0,39.42783356,943.53210448,597.2728,ADXL:,-1101,93,-650,-1,70,465,-323,0,0,0,0,LSM-A:,980,-34,31,-1,-3,12,-15,0,0,0,0,LSM-G,0.0006,0.0003,0.0005,-2,-1,0,2.1,3.3,EVENTS:,96,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,132,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:42.489,WAITING,0.000,0,11,0,12,103,103,0,0,39.49755860,943.52099608,597.3705,ADXL:,-953,-350,-9,-2,-77,465,-372,0,0,0,0,LSM-A:,978,-33,40,-1,-5,12,-15,0,0,0,0,LSM-G,0.0036,0.0005,0.0003,-2,-1,0,2.4,3.3,EVENTS:,98,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,132,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:47.835,WAITING,0.000,0,11,0,12,103,103,0,0,39.57622148,943.57086180,596.9319,ADXL:,-1101,93,-650,0,73,468,-320,0,0,0,0,LSM-A:,982,-26,44,-1,-1,12,-15,0,0,0,0,LSM-G,0.0006,0.0002,0.0005,-2,-1,0,2.0,3.3,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:53.186,WAITING,0.000,0,11,0,12,103,103,0,0,39.65042116,943.52819824,597.3071,ADXL:,-1298,-54,-404,1,270,517,-419,0,0,0,0,LSM-A:,983,-31,29,-0,-0,12,-15,0,0,0,0,LSM-G,0.0010,-0.0001,0.0005,-2,-1,0,2.8,3.3,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,133,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:51:58.681,WAITING,0.000,0,11,0,12,103,103,0,0,39.71736904,943.52166748,597.3652,ADXL:,-805,-4,-354,0,-223,319,-420,0,0,0,0,LSM-A:,978,-33,38,-0,-5,12,-15,0,0,0,0,LSM-G,0.0005,0.0002,0.0002,-1,-1,0,1.6,3.3,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:52:04.041,WAITING,0.000,0,11,0,12,103,103,0,0,39.78730008,943.55944824,597.0323,ADXL:,-1101,-152,-256,1,72,368,-518,0,0,0,0,LSM-A:,986,-28,36,-1,2,12,-15,0,0,0,0,LSM-G,-0.0001,-0.0001,0.0002,-1,-1,0,1.8,3.3,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:52:09.358,WAITING,0.000,0,11,0,12,103,103,0,0,39.85635376,943.54315184,597.1776,ADXL:,-1052,44,-404,2,22,466,-322,0,0,0,0,LSM-A:,982,-27,30,-1,-1,12,-15,0,0,0,0,LSM-G,-0.0001,-0.0001,0.0000,-1,-1,-0,1.9,3.3,EVENTS:,98,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:52:14.682,WAITING,0.000,0,11,0,12,103,103,0,0,39.92134096,943.52172852,597.3652,ADXL:,-1052,-54,-354,-3,22,466,-322,0,0,0,0,LSM-A:,978,-31,42,-1,-5,12,-15,0,0,0,0,LSM-G,-0.0009,-0.0001,-0.0003,-2,-1,-0,2.1,3.3,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,133,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:52:20.000,WAITING,0.000,0,11,0,12,103,103,0,0,39.99154280,943.54077148,597.1961,ADXL:,-1101,-103,-305,1,74,222,-221,0,0,0,0,LSM-A:,981,-27,37,-0,-2,12,-15,0,0,0,0,LSM-G,-0.0009,-0.0001,-0.0005,-2,-1,-0,2.5,3.3,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,132,133,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
